property_id,specification_anchor,claim,lean_theorem,implementation_target,implementation_tool,result,evidence,scope,implementation_status,evidence_kind,human_review_status
APYX-erc4626-compliance,SPEC.md REQ-erc4626-compliance,The apyUSD vault contract MUST implement the ERC‑4626 tokenized vault interface.,req_erc4626_compliance,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"req_erc4626_compliance (Apyx.lean) — Conversion/preview/max algebra only; full ABI, events, getters, and refinement are not proved.",model-local,not-run,model-partial,pending
APYX-unlock-token-redeemable-1to1-after-20d,SPEC.md REQ-unlock-token-redeemable-1to1-after-20d,apxUSD_unlock tokens MUST be redeemable 1:1 for apxUSD after a 20‑day cooldown period.,claimUnlockStep_effect; redemption_cycle_closes_after_cooldown; claimUnlock_holderValueAt_neutral,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,claimUnlockStep_effect; redemption_cycle_closes_after_cooldown; claimUnlock_holderValueAt_neutral (Apyx.lean + HolderValue.lean) — Conditional 1:1 payout and one trace are proved; unconditional post-cooldown success is not.,trace,not-run,model-partial,pending
APYX-unlock-token-nontransferable,SPEC.md REQ-unlock-token-nontransferable,apxUSD_unlock tokens MUST NOT be transferable.,no_role_seizes_unlock_position; unlock_position_created_only_by_vault_ops,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,no_role_seizes_unlock_position; unlock_position_created_only_by_vault_ops (BlastRadius.lean) — Missing owner-initiated case; ownership preservation proved only for non-owner callers.,model-local,not-run,model-partial,pending
APYX-unlock-token-no-yield,SPEC.md REQ-unlock-token-no-yield,apxUSD_unlock tokens MUST NOT earn yield.,req_pay_to_non_cooldown; claimUnlockStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_pay_to_non_cooldown; claimUnlockStep_effect (Apyx.lean) — Abstract unlock records remain unchanged; holder/value and implementation-level yield exclusion are not fully modeled.,model-local,not-run,model-partial,pending
APYX-unlock-receipt-nft-mint,SPEC.md REQ-unlock-receipt-nft-mint,"When a user initiates a new unlock, the system MUST mint an on‑chain Unlock Receipt NFT representing the pending claim.",requestUnlockStep_exact_position; ownerPointerSound_createStandardUnlock; registryBounded_createStandardUnlock; withdrawStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"requestUnlockStep_exact_position; ownerPointerSound_createStandardUnlock; registryBounded_createStandardUnlock; withdrawStep_effect (Apyx.lean + Registry.lean) — Registry-invariant preservation over createStandardUnlock plus step post-state equations. | Abstract registry surrogate: receipt fields and pointers, not on-chain NFT custody (README notes NFT custody is unmodeled)",model-local,not-run,model-partial,pending
APYX-unlock-claimable-after-3d,SPEC.md REQ-unlock-claimable-after-3d,Unlocks MUST become claimable after three days.,req_unlock_claimable_after_3d,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_unlock_claimable_after_3d (Apyx.lean) — Conditional timing guard only; successful claim liveness after three days is not proved.,model-local,not-run,model-partial,pending
APYX-early-unlock-fee-linear-decline,SPEC.md REQ-early-unlock-fee-linear-decline,The early unlock fee MUST decline linearly over time from 3.5 % down to 0.1 %.,req_early_unlock_fee_linear_decline; flexibleUnlockFee_at_min_claim; flexibleUnlockFee_claimable_le; flexibleUnlockFee_before_cooldown_exact,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"Apyx.lean — Exact first-claim (299 bps), claimable upper bound (299 bps), discrete pre-cooldown formula, monotonicity, and terminal floor are proved; the literal 350 bps start is unreachable for a successful claim, so the broad 3.5%→0.1% claim remains partial.",model-local; reachable; counterexample,not-run,model-partial,pending
APYX-unlock-cannot-be-cancelled,SPEC.md REQ-unlock-cannot-be-cancelled,The system MUST NOT allow an unlocking request to be cancelled once it has been initiated.,req_unlock_cannot_be_cancelled,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_unlock_cannot_be_cancelled (Apyx.lean) — Closed abstract operation enumeration only; deployed token transfer/burn surface is not refined.,model-local,not-run,model-partial,pending
APYX-unlock-conversion-after-cooldown,SPEC.md REQ-unlock-conversion-after-cooldown,Conversion of apxUSD_unlock to apxUSD MUST only be possible after the cooldown period has elapsed.,claimUnlockStep_effect; redemption_cycle_closes_after_cooldown; req_redemption_async_process,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (unnamed mapping) / impl=not-run,claimUnlockStep_effect; redemption_cycle_closes_after_cooldown; req_redemption_async_process (Apyx.lean) — Negative half: success forces cooldownEnd <= now; positive half: reachable trace.,trace; reachable,not-run,model-proof,pending
APYX-multiple-unlocks-reset-cooldown,SPEC.md REQ-multiple-unlocks-reset-cooldown,"If a user initiates multiple unlocks, the system MUST reset the cooldown period for the total locked amount.",req_multiple_unlocks_reset_cooldown,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,req_multiple_unlocks_reset_cooldown (Apyx.lean) — One top-up effect under pointer hypotheses; general multiple-request behavior is not proved.,model-local,not-run,model-partial,pending
APYX-withdrawForMaxShares-revert-if-exceeds-maxShares,SPEC.md REQ-withdrawForMaxShares-revert-if-exceeds-maxShares,"withdrawForMaxShares(uint256 assets, uint256 maxShares, address receiver) MUST revert if the number of apyUSD shares required to withdraw the assets exceeds maxShares.",withdrawForMaxShares_reverts_on_slippage; withdrawForMaxShares_delegates_when_bounded,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (guard + delegation) / impl=not-run,Apyx.lean proves the reverting bound and exact delegation to Op.withdraw when bounded; underlying withdrawal guards remain separate.,model-local,not-run,model-proof,pending
APYX-redeemForMinAssets-revert-if-below-minAssets,SPEC.md REQ-redeemForMinAssets-revert-if-below-minAssets,"redeemForMinAssets(uint256 shares, uint256 minAssets, address receiver) MUST revert if the amount of apxUSD assets to be received is less than minAssets.",redeemForMinAssets_reverts_on_slippage; redeemForMinAssets_delegates_when_bounded,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (guard + delegation) / impl=not-run,Apyx.lean proves the reverting bound and exact delegation to Op.redeem when bounded; underlying redemption guards remain separate.,model-local,not-run,model-proof,pending
APYX-vault-pulls-vested-yield-before-withdraw,SPEC.md REQ-vault-pulls-vested-yield-before-withdraw,"When a withdrawal is requested, the vault MUST automatically pull all vested yield from the LinearVestV0 contract before processing the withdrawal.",withdrawStep_effect; redeemStep_effect; pullVestedYield_moves_exactly_vested,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,withdrawStep_effect; redeemStep_effect; pullVestedYield_moves_exactly_vested (Apyx.lean + Safety.lean) — Abstract ordering and amount only; external contract-call refinement is not proved.,model-local,not-run,model-partial,pending
APYX-vault-burns-apyUSD-shares-immediately,SPEC.md REQ-vault-burns-apyUSD-shares-immediately,The vault MUST burn the appropriate amount of apyUSD shares immediately upon a withdraw or redeem call.,withdrawStep_effect; redeemStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (unnamed mapping) / impl=not-run,withdrawStep_effect; redeemStep_effect (Apyx.lean) — Post-state contains burnApyUSD in the same atomic step.,model-local,not-run,model-proof,pending
APYX-vault-deposits-apxUSD-into-UnlockToken,SPEC.md REQ-vault-deposits-apxUSD-into-UnlockToken,The vault MUST deposit the corresponding apxUSD amount into the UnlockToken contract during a withdraw or redeem operation.,withdrawStep_effect; redeemStep_effect; apxUSDFlow_withdraw; apxUSDFlow_redeem,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"withdrawStep_effect; redeemStep_effect; apxUSDFlow_withdraw; apxUSDFlow_redeem (Apyx.lean + HolderValue.lean) — vaultApxUSDBal debited and createStandardUnlock in the same step. | Abstract custody-flow surrogate: vaultApxUSDBal debit + registry entry, not a contract-level token transfer",model-local,not-run,model-partial,pending
APYX-unlockToken-mints-apxUSD_unlock-immediately,SPEC.md REQ-unlockToken-mints-apxUSD_unlock-immediately,"The UnlockToken contract MUST mint apxUSD_unlock tokens to the user immediately after the deposit -- where ""the deposit"" is the vault depositing the corresponding apxUSD into the UnlockToken contract (as part of a withdraw/redeem/unlock-request operation), not the user's initial USDC/apxUSD deposit into the vault.",withdrawStep_effect; redeemStep_effect; stdPositions_createStandardUnlock,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,withdrawStep_effect; redeemStep_effect; stdPositions_createStandardUnlock (Apyx.lean + HolderValue.lean) — Same atomic step credits the receiver's fresh position. | Abstract registry surrogate: fresh position credited in the same step; no on-chain unlock-token mint is modeled,model-local,not-run,model-partial,pending
APYX-unlockToken-redeem-after-cooldown,SPEC.md REQ-unlockToken-redeem-after-cooldown,The UnlockToken contract MUST allow a user to call redeem() after the cooldown period to receive the underlying apxUSD.,redemption_cycle_closes_after_cooldown; claimUnlockStep_effect; claimUnlock_holderValueAt_neutral,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (unnamed mapping) / impl=not-run,"redemption_cycle_closes_after_cooldown; claimUnlockStep_effect; claimUnlock_holderValueAt_neutral (Apyx.lean + HolderValue.lean) — Liveness half proved inside one trace: request, tick, claim succeeds.",trace,not-run,model-proof,pending
APYX-singleton-unlockToken-instance,SPEC.md REQ-singleton-unlockToken-instance,There MUST be exactly one instance of UnlockToken and it MUST be used exclusively by the apyUSD vault.,step_unlockTokenAddress_unchanged; unlock_position_created_only_by_vault_ops,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,step_unlockTokenAddress_unchanged; unlock_position_created_only_by_vault_ops (Apyx.lean + BlastRadius.lean) — Instance identity immutable and only vault ops allocate; first theorem is a private helper.,model-local,not-run,model-partial,pending
APYX-vault-operator-of-UnlockToken,SPEC.md REQ-vault-operator-of-UnlockToken,"The apyUSD vault MUST be configured as the operator of the UnlockToken contract, allowing it to initiate redeem requests on behalf of users immediately.",step_unlockTokenOperator_unchanged; claimUnlockStep_effect; flexibleClaimStep_effect,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,step_unlockTokenOperator_unchanged; claimUnlockStep_effect; flexibleClaimStep_effect (Apyx.lean) — Operator immutability proved; no theorem asserts operator = vault address.,model-local,not-run,model-partial,pending
APYX-DR-1,"SPEC.md §10a DR-1 (provenance: on-chain, block ~25,641,600)","A redeem request SHALL become claimable once unlockingDelay has elapsed since it was filed, and a trace SHALL exist that files, waits and claims.",module-level: CommitToken.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,CommitToken.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-2,"SPEC.md §10a DR-2 (provenance: on-chain, block ~25,641,600)",A claim SHALL burn exactly the recorded share amount and credit the receiver exactly that amount (assets and shares convert 1:1).,module-level: CommitToken.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,CommitToken.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-3,"SPEC.md §10a DR-3 (provenance: on-chain, block ~25,641,600)",A holder SHALL NOT be committed to more shares than they hold.,module-level: CommitToken.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,CommitToken.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-4,"SPEC.md §10a DR-4 (provenance: on-chain, block ~25,641,600)",Adding to an existing request SHALL reset the cooldown for the entire position; the contract keeps no tranches.,module-level: CommitToken.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,CommitToken.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-5,"SPEC.md §10a DR-5 (provenance: on-chain, block ~25,641,600)",A claim SHALL be rejected unless its amount equals the recorded request exactly; partial claims are not supported.,module-level: CommitToken.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,CommitToken.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-6,"SPEC.md §10a DR-6 (provenance: on-chain, block ~25,641,600)","Claimability SHALL be evaluated against the current unlockingDelay, so raising it applies to requests already pending.",module-level: CommitToken.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,CommitToken.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-7,"SPEC.md §10a DR-7 (provenance: on-chain, block ~25,641,600)",A request SHALL NOT escrow the shares; they remain on the owner's balance until the claim (ERC-7540 deviation).,module-level: CommitToken.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,CommitToken.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-8,"SPEC.md §10a DR-8 (provenance: on-chain, block ~25,641,600)","The published redemption ratio SHALL be min(collateral ratio, cap) and SHALL NOT exceed cap on any trace.",module-level: RedemptionOracle.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,RedemptionOracle.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-9,"SPEC.md §10a DR-9 (provenance: on-chain, block ~25,641,600)",No operation of the pipeline SHALL modify cap; moving it requires replacing the implementation.,module-level: RedemptionOracle.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,RedemptionOracle.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-10,"SPEC.md §10a DR-10 (provenance: on-chain, block ~25,641,600)",A push above the cap SHALL be clamped rather than rejected.,module-level: RedemptionOracle.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,RedemptionOracle.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-11,"SPEC.md §10a DR-11 (provenance: on-chain, block ~25,641,600)","Below the cap the published ratio SHALL equal the pushed value; no lower bound is enforced, and a push of 0 publishes 0.",module-level: RedemptionOracle.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,RedemptionOracle.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-12,"SPEC.md §10a DR-12 (provenance: on-chain, block ~25,641,600)",A mint request SHALL be rejected when it exceeds rateLimitAmount minus the volume already recorded inside rateLimitPeriod.,module-level: MinterRateLimit.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,MinterRateLimit.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-13,"SPEC.md §10a DR-13 (provenance: on-chain, block ~25,641,600)",A successful mint SHALL record its amount at the current timestamp.,module-level: MinterRateLimit.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,MinterRateLimit.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-14,"SPEC.md §10a DR-14 (provenance: on-chain, block ~25,641,600)",Reducing rateLimitAmount SHALL NOT unwind volume already inside the window; capacity pins at zero until the window rolls.,module-level: MinterRateLimit.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,MinterRateLimit.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-15,"SPEC.md §10a DR-15 (provenance: on-chain, block ~25,641,600)","A record SHALL leave the window the moment rateLimitPeriod has elapsed; capacity is restored in one step, not smoothly.",module-level: MinterRateLimit.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,MinterRateLimit.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-16,"SPEC.md §10a DR-16 (provenance: on-chain, block ~25,641,600)",The market allowlist SHALL be fixed at construction; no operation may widen it.,module-level: LiquidationBatcher.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,LiquidationBatcher.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-17,"SPEC.md §10a DR-17 (provenance: on-chain, block ~25,641,600)",Withdrawals SHALL transfer only to the immutable construction-time destination; the caller SHALL NOT choose a recipient.,module-level: LiquidationBatcher.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,LiquidationBatcher.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-18,"SPEC.md §10a DR-18 (provenance: on-chain, block ~25,641,600)",A batch naming any market outside the allowlist SHALL revert in full.,module-level: LiquidationBatcher.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,LiquidationBatcher.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-19,"SPEC.md §10a DR-19 (provenance: on-chain, block ~25,641,600)",The vault SHALL hold no stored exchange rate. totalAssets() SHALL be computed on read as asset.balanceOf(vault) + vesting.vestedAmount().,module-level: Apyx.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=partial / impl=not-run,"Apyx.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md — Pricing reads are derived, but the abstract State retains a published exchangeRate field; exact state/refinement correspondence is unresolved.",model-local,not-run,model-partial,pending
APYX-DR-20,"SPEC.md §10a DR-20 (provenance: on-chain, block ~25,641,600)",Conversions SHALL use OpenZeppelin virtual share/asset: shares = assets * (totalSupply + 10^offset) / (totalAssets + 1) and inverse.,module-level: Apyx.lean / MulDivFidelity.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=partial / impl=not-run,Apyx.lean / MulDivFidelity.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md — The model's ray-scaled double-division formulas are not identical to the deployed single mulDiv form; fidelity remains a hand-off.,model-local,not-run,model-partial,pending
APYX-DR-21,"SPEC.md §10a DR-21 (provenance: on-chain, block ~25,641,600)","Rounding SHALL favour the vault in all four directions: previewDeposit down, previewMint up, previewWithdraw up, previewRedeem down.",module-level: Apyx.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,Apyx.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-22,"SPEC.md §10a DR-22 (provenance: on-chain, block ~25,641,600)","withdraw and redeem SHALL realise vested yield before pricing, so liquid assets match totalAssets() at the moment of conversion.",module-level: Apyx.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,Apyx.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-23,"SPEC.md §10a DR-23 (provenance: on-chain, block ~25,641,600)","Each withdraw/redeem SHALL open a new unlock receipt with its own token id (one-pending-request rule applies to the request registry, not vault receipts).",module-level: Apyx.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,Apyx.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-24,"SPEC.md §10a DR-24 (provenance: on-chain, block ~25,641,600)","A settled unlock SHALL be retired in the same call that pays it out — request entry and owner pointer both cleared, not only the receipt.",module-level: Apyx.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,Apyx.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-DR-25,"SPEC.md §10a DR-25 (provenance: on-chain, block ~25,641,600)",Crediting yield SHALL affect only the vesting contract; it SHALL NOT credit the USDC redemption reserve.,module-level: Apyx.lean / DeploymentGaps.lean,deployed contracts (see archive/audit-evidence/deployment_ground_truth.md),none (hand-off: README §6.4),model=formalized (deployment-derived) / impl=not-run,Apyx.lean / DeploymentGaps.lean; SPEC.md §10a; archive/audit-evidence/deployment_ground_truth.md,model-local (deployment-derived),not-run,deployment-reading,pending
APYX-PM-transition-contract,docs/11-apyx-proof-map.md §4,"Every public operation MUST have an explicit accepted/reverted transition result: acceptance carries the post-state and events, and a revert leaves no successor state.",StepResult; stepResult_total; stepResult_accepted_iff; stepResult_reverted_iff; stepResult_reverted_no_state,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"Transition.lean — Total accepted/reverted boundary over the Option-valued step; RevertReason has only modelUnknown, so guard identification, event fidelity, and partial-state-before-revert behavior remain explicit model gaps.",model-local,not-run,model-partial,pending
APYX-PM-apxusd-ledger,docs/11-apyx-proof-map.md §5.1,The finite apxUSD holder ledger MUST agree with the tracked total supply on every state reachable from the default state.,ApxUSDLedgerConsistent; apxUSDLedgerConsistent_default; apxUSDLedgerConsistent_step; apxUSDLedgerConsistent_trace,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (reachable from default) / impl=not-run,"Ledger.lean — Initialization, per-Op preservation (ledgerCoveredOp_all), and revert-skip trace lifting are proved; ledgerGapWitness records that arbitrary hand-written states can still violate the identity.",reachable; trace,not-run,model-proof,pending
APYX-PM-registry-wellindexed,docs/11-apyx-proof-map.md §5.2,"Registry entries MUST stay bounded by the id counter, owner pointers MUST reference live positions owned by the pointing address, and the standard/flexible registries MUST stay disjoint.",RegistryWellIndexed; registryWellIndexed_default; registryWellIndexed_step; registryWellIndexed_reachable,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (reachable) / impl=not-run,"Registry.lean — Initialization, per-Op preservation, and reachability are proved; constructor-specific lemmas cover fresh allocation, top-ups, claims, and vault exits.",reachable,not-run,model-proof,pending
APYX-PM-protocol-inv,docs/11-apyx-proof-map.md §6,"From the initial state, every accepted solvency-scoped operation MUST preserve the composite design invariant: registry well-indexedness, solvency, well-formedness, and both finite token ledgers.",ProtocolInv; protocolInv_default; protocolInv_step; protocolInv_reachable; protocolInv_reachableOps,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"Invariant.lean — Preservation excludes claimUnlock, flexibleClaimUnlock, handleStressEvent, catastrophicBackstop, withdrawReserve (SolvencyScopedOp); the ops-only layer discharges WellFormed under PriceBoundedOp. Proof Map v2 V2-INV targets removing the exclusions.",reachable,not-run,model-partial,pending
APYX-PM-outstanding-solvency,docs/11-apyx-proof-map.md §6,Circulating apxUSD supply plus pending unlock face amounts MUST stay covered by collateral plus reserve across the request-cooldown-claim settlement cycle.,SolventOutstanding; solventOutstanding_step; protocolInvOutstanding_step; protocolInvFull_reachable,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"Invariant.lean — Both unlock claims are inside the preserved scope; vault exits (withdraw/redeem), handleStressEvent, catastrophicBackstop, withdrawReserve are excluded (OutstandingScopedOp), and reachability is anchored at the empty default state. Proof Map v2 V2-INIT/V2-ACC target the funded-Init and custody-accounting gaps.",reachable,not-run,model-partial,pending
APYX-PM-receipt-ledger,docs/11-apyx-proof-map.md §5.2,Unlock receipts MUST agree with the pending registries on owner and face amount on every reachable state of the restricted relation.,UnlockTokenLedgerConsistent; protocolInvWithReceiptLedger_step; protocolInvWithReceiptLedger_reachable,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (reachable," restricted relation) / impl=not-run,Invariant.lean + HolderValue.lean — Receipt/registry identity with exhaustive UnlockTokenLedgerCoveredOp classification; no USDC total-supply, fee-wallet, or NFT-custody field is added to State.",reachable,not-recorded,model-proof,pending
APYX-PM-init-funded,life#59 Proof Map v2 §V2-A,"The global safety series MUST start from a legitimate (possibly funded) initial state, not only from the empty default state.",Init; init_inv; init_default; init_fundedInit; ReachInit; protocolInvFull_reachable,Apyx deployed contracts,none (hand-off: README §6.4),"model=proved (reachable, restricted relation) / impl=not-run",Init.lean — Init is a predicate (default and the funded witness both qualify); ReachInit carries the same OutstandingScopedOp/PriceBoundedOp side conditions as the former default-anchored relation (subsumed by ReachInit). The USDC holder ledger stays an external-parameter boundary (v2 decision V2-A option 2).,reachable,not-run,model-proof,pending
APYX-PM-funded-settlement,life#59 Proof Map v2 §V2-A,A full request-cooldown-claim settlement cycle MUST be exhibitable from a funded legitimate initial state inside the safety relation.,fundedInit_settlement_trace; fundedInit_settlement_reachInit,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (witness) / impl=not-run,"Init.lean — The funded witness runs request(400) → tick(cooldownPeriod) → claim without reverting, and the mid-cycle states are ReachInit-reachable with ProtocolInvFull; the default-anchored relation cannot exhibit this as a nonzero trace.",witness; trace,not-run,attack-witness,pending
APYX-PM-phase-valid,life#59 Proof Map v2 §V2-A/V2-B,Legitimate initial states MUST be in the normal phase (emergency flag down); the flag MUST be a frame fact under the outstanding scope.,NormalPhase; emergencyFlag_frame; normalPhase_step,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local) / impl=not-run,Init.lean — Only handleStressEvent writes emergencyFlag (the backstop reads it as a guard); V2-INV replaces the single bit with explicit Normal/Stress/Backstop phases.,model-local,not-run,model-proof,pending
APYX-PM-backstop-conservation,life#59 Proof Map v2 §V2-C,"The catastrophic backstop MUST distribute at most the reserve, and payouts plus an explicit rounding residual MUST equal the pre-state reserve exactly; the residual MUST NOT be silently ignored.",backstopPayout; backstopResidual; backstopPayout_sum_le_reserve; backstop_reserve_conservation; catastrophicBackstop_accounting; catastrophicBackstop_accounting_ledger,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local) / impl=not-run,"Accounting.lean — Sum of floor-divided pro-rata payouts over any supply-bounded holder support is at most the reserve (zero-supply corner pays zero); payouts plus the named residual equal the reserve; tied to the transition via req_catastrophic_backstop. pro_rata_floor_underpays_witness (SpecDefects.lean) shows the residual can be positive, so the residual-free equality is deliberately not claimed.",model-local,not-run,model-proof,pending
